kfelbasani@gmail.com;FK Elbasani
futbolli@bashkiavlore.org;Flamurtari FC
juristeurogjici@gmail.com;FK Kukësi
kf_laci@live.com;KF Laçi
info@fcp.al;FK Partizani
kfskenderbeu.com;KF Skënderbeu
kfteuta@yahoo.com;KF Teuta
kftirana@albmail.com;KF Tirana
info@vllaznia.eu;KF Vllaznia
secretariat@asterastripolis.gr;Asteras Tripolis FC
atromitos@atromitosfc.gr;Atromitos FC
info@ergotelis.gr;Ergotelis FC
grammateia@aelk.gr;Kalloni FC
info@aokerkyra.com.gr;Kerkyra FC
info@levadiakosfc.gr;Levadiakos FC
eam@ofifc.gr;OFI Crete FC
footballdpt@olympiacos.org;Olympiacos FC
info@pao.gr;Panathinaikos FC
info@panionios.gr;Panionios GSS
info@panthrakikos.com;Panthrakikos FC
info@paokfc.gr;PAOK FC
info@pasgiannina.gr;PAS Giannina FC
panetolikos@otenet.gr;Panaitolikos GFS
fcplatanias@gmail.com;Platanias FC
veriafc@veriafc.gr;Veria FC
office@skodaxanthifc.gr;Xanthi FC
office@bhfc.hu;Budapest Honvéd FC
dvscrt@dvsc.hu;Debreceni VSC
info@dvtk.eu;Diósgyõri VTK
iroda@dpase.hu;Dunaújváros PASE
ftc@fradi.hu;Ferencvárosi TC
titkarsag@eto.hu;Gyõri ETO FC
titkarsag@kecskemetite.hu;Kecskeméti TE
iroda@lombardfcpapa.hu;Lombard-Pápa TFC
info@mtkbudapest.hu;MTK Budapest
info@szpari1928.hu;Nyíregyháza
pse@enternet.hu;Paksi FC
pmfc@pmfc.hu;Pécsi MFC
bolla.krisztian@pfla.hu;Puskás Akadémia FC
titkarsag@haladas.hu;Szombathelyi Haladás
ujpestfc@ujpestfc.hu;Újpest FC
titkarsag@videotonfc.hu;Videoton FC
knattspyrna@breidablik.is;Breidablik
fh@fh.is;FH Hafnarfjördur
fjolnir@fjolnir.is;Fjölnir Reykjavik
knattspyrna@fram.is;Fram Reykjavík
fylkir@fylkir.com;Fylkir
ibv@ibv.is;ÍBV Vestmannaeyjar
kef-fc@keflavik.is;Keflavík
jonas@kr.is;KR Reykjavík
knattspyrna@stjarnan.is;Stjarnan
knattspyrna@thorsport.is;Thór Akureyri
valur@valur.is;Valur Reykjavík
knattspyrna@vikingur.is;Víkingur Reykjavík
rafi@jbz.co.il;FC Ashdod
lizzy@bjerusalem.co.il;Beitar Jerusalem FC
bneisakhnin@gmail.com;Bnei Sakhnin FC
hapoel_akko@walla.com;Hapoel Akko FC
office@hapoelb7.com;Hapoel Beer Sheva FC
ronfeldheim@gmail.com;Hapoel Haifa FC
yosied8@gmail.com;Hapoel Kiryat
office@hapoel-raanana.co.il;Hapoel Ra'anana FC
rachel@hapoelta-fc.co.il;Hapoel Tel-Aviv FC
info@maccabihaifafc.com;Maccabi Haifa FC
m-pt@zahav.net.il;Maccabi Petah
mn@fcmn.co.il;Maccabi Netanya FC
liran@mtafc.com;Maccabi Tel-Aviv FC
atalanta@lega-calcio.it;Atalanta BC
cagliari@lega-calcio.it;Cagliari Calcio
cesena@lega-calcio.it;AC Cesena
chievoverona@lega-calcio.it;AC Chievo Verona
palermo@lega-calcio.it;US Citta di Palermo
empoli@lega-calcio.it;Empoli FC
fiorentina@lega-calcio.it;ACF Fiorentina
genoa@lega-calcio.it;Genoa CFC
hellasverona@lega-calcio.it;Hellas Verona FC
internazionale@lega-calcio.it;FC Internazionale Milano
juventus@lega-calcio.it;Juventus
lazio@lega-calcio.it;S.S. Lazio
milan@lega-calcio.it;AC Milan
napoli@lega-calcio.it;SSC Napoli
parma@lega-calcio.it;Parma FC
roma@lega-calcio.it;AS Roma
sampdoria@lega-calcio.it;UC Sampdoria
sassuolo@lega-calcio.it;US Sassuolo Calcio
torino@lega-calcio.it;Torino FC
udinese@lega-calcio.it;Udinese Calcio
fk-aktobe@mail.ru;FC Aktobe
club@fca.kz;FC Astana
fc_atyrau@mail.ru;FC Atyrau
irtysh-fc@mail.ru;FC Irtysh Pavlodar
info@fckairat.kz;FC Kairat Almaty
fc_kaysar@rambler.ru;FC Kaysar Kyzylorda
pfk_ordabasy@mail.ru;FC Ordabasy Shymkent
shahter56@mail.ru;FC Shakhter Karagandy
fk_spartak_semey@mail.ru;FC Spartak Semey
fc_taraz@mail.ru;FC Taraz
fc-tobol@mail.ru;FC Tobol Kostanay
pfc_zhetisu@mail.ru;FC Zhetysu Taldykorgan
